"Regione","Provincia","Ente","Codice 
Ministero 
Interno","Codice BDAP","CUP","Target (mq 
rigenerati)","Finanziamento parziale","Costo 
complessivo","Quota co-
finanziata","Richiesta 
contributo","Di cui 
progettazione","Tipologia 
intervento 
(lettera)","Data Trasmissione 
Domanda","Ammesso/Non 
ammesso","Motivazione","IVSM (2018)"
"Veneto","Padova","Abano Terme","2050540010","535442930509897502","I48B18000050002","1.900","Sì","1.450.000,00","450.000,00","1.000.000,00","97.600,00","B","29/05/2021","Sì","-","98,25252369"
"Lombardia","Milano","Abbiategrasso","1030490020","682442930509273402","C47H21001030001","1.000","No","150.000,00","-","150.000,00","-","B","25/05/2021","Sì","-","97,84975853"
"Campania","Napoli","Acerra","4150510010","531442930509846501","F37H21001950001","6.000","No","3.120.000,00","-","3.120.000,00","30.000,00","B","31/05/2021","Sì","-","107,6477561"
"Campania","Napoli","Acerra","4150510010","531442930509846501","F37H21002370001","30.000","No","3.000.000,00","-","3.000.000,00","30.000,00","B","31/05/2021","Sì","-","107,6477561"
"Campania","Napoli","Acerra","4150510010","531442930509846501","F37H21001960001","23.000","No","2.500.000,00","-","2.500.000,00","20.000,00","B","31/05/2021","Sì","-","107,6477561"
"Sicilia","Catania","Aci Castello","5190210020","864342930509826301","H29J20001620001","4.000","No","1.960.000,00","-","1.960.000,00","27.265,07","B","04/06/2021","Sì","-","102,7023571"
"Sicilia","Catania","Aci Castello","5190210020","864342930509826301","H29G16000470002","2.300","No","576.000,00","-","576.000,00","8.115,12","A","04/06/2021","Sì","-","102,7023571"
"Sicilia","Catania","Aci Castello","5190210020","864342930509826301","H25D18000320004","200","No","743.197,47","-","743.197,47","32.167,77","B","04/06/2021","Sì","-","102,7023571"
"Sicilia","Catania","Aci Castello","5190210020","864342930509826301","H26D10000000002","4.100","No","795.396,00","-","795.396,00","12.000,00","B","04/06/2021","Sì","-","102,7023571"
"Sicilia","Catania","Aci Castello","5190210020","864342930509826301","H22B17000520001","1.258","No","925.000,00","-","925.000,00","27.000,00","B","04/06/2021","Sì","-","102,7023571"
"Sicilia","Catania","Aci Catena","5190210030","275042928135390702","H31B20000770001","1.089","No","1.900.000,00","-","1.900.000,00","73.998,72","B","03/06/2021","Sì","-","105,6769666"
"Sicilia","Catania","Aci Catena","5190210030","275042928135390702","H39J20001420001","322.620","No","3.100.000,00","-","3.100.000,00","76.770,35","B","03/06/2021","Sì","-","105,6769666"
"Sicilia","Catania","Aci Sant'Antonio","5190210050","482842928210538302","C53D17000360002","12.000","No","3.280.000,00","-","3.280.000,00","329.007,86","C","07/05/2021","Sì","-","103,8762902"
"Sicilia","Catania","Aci Sant'Antonio","5190210050","482842928210538302","C57H21000640001","1.000","Sì","648.000,00","197.016,00","450.984,00","-","B","07/05/2021","Sì","-","103,8762902"
