titolo,url
"Monitoraggio settimanale Covid-19, report 31 maggio - 6 giugno 2021",https://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5519
"Monitoraggio settimanale Covid-19, report 24 - 30 maggio 2021",https://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5507
"Monitoraggio settimanale Covid-19, report 17 - 23 maggio 2021",https://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5505
"Monitoraggio settimanale Covid-19, report 10 - 16 maggio 2021",https://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5495
"Monitoraggio settimanale Covid-19, report 3 - 9 maggio 2021",https://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5482
"Monitoraggio settimanale Covid-19, report 26 aprile - 2 maggio 2021",https://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5474
"Monitoraggio settimanale Covid-19, report 19 - 25 aprile 2021",https://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5465
"Monitoraggio settimanale Covid-19, report 12 - 18 aprile 2021",https://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5442
"Monitoraggio settimanale Covid-19, report 5 aprile - 11 aprile 2021",https://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5432
"Monitoraggio settimanale Covid-19, report 14-20 settembre",https://www.salute.gov.it/portale/news/p3_2_1_1_1.jsp?lingua=italiano&menu=notizie&p=dalministero&id=5077
