title,datetime,URLfile
Piano di riorganizzazione delle strutture sanitarie per l'emergenza pandemica,2022-01-05,https://italiadomani.gov.it/content/dam/sogei-ng/documenti/2-Piano-Riorganizzazione-TI-e-TSI-20_10_2021_v02.pdf
Regolamento sulle modalità di digitalizzazione delle procedure dei contratti pubblici,2022-01-05,https://italiadomani.gov.it/content/dam/sogei-ng/documenti/Decreto_Ministeriale_12_agosto%20202_%20n_148.pdf
Allegato 1: Comunicazione delle politiche di investimento Cassa Depositi e Prestiti,2022-01-04,https://italiadomani.gov.it/content/dam/sogei-ng/documenti/Allegato%201_CDPI%20SGR_Comunicazione-politiche-di-investimento.pdf
Allegato 3c: Manuale utente - Tourism Digital Hub – Dashboard,2022-01-04,https://italiadomani.gov.it/content/dam/sogei-ng/documenti/Allegato%203c-Dashboard-Manuale-Utente.pdf
Allegato 4: Comunicazione integrativa delle politiche di investimento Cassa Depositi e Prestiti,2022-01-04,https://italiadomani.gov.it/content/dam/sogei-ng/documenti/Allegato%204_CDPI%20SGR_Comunicazione-integrativa-politiche-di-investimento.pdf
"Allegato 5: Comunicazione referenti tavoli tematici avente oggetto “Collaborazione e partecipazione per il Tourism Digital Hub nell’ambito del PNRR""",2022-01-04,https://italiadomani.gov.it/content/dam/sogei-ng/documenti/Allegato-5-Nota-comunicazione-referenti-tavoli-tematici.pdf
Circolare n.11254 del 29 maggio 2020,2022-01-04,https://italiadomani.gov.it/content/dam/sogei-ng/documenti/Min-Sal-circolare-11254_potenziamento-rete-ospedaliera_29-mag-20.pdf
Documentazione della misura M1C1-23 – Fondi integrati per la competitività delle imprese turistiche,2022-01-04,https://italiadomani.gov.it/content/dam/sogei-ng/documenti/Allegato%201_CDPI%20SGR_Comunicazione-politiche-di-investimento.pdf
Documentazione della misura M1C1-23 – Fondi integrati per la competitività delle imprese turistiche,2022-01-04,https://italiadomani.gov.it/content/dam/sogei-ng/documenti/Allegato%204_CDPI%20SGR_Comunicazione-integrativa-politiche-di-investimento.pdf
Documentazione della misura M1C3-8 - Hub del turismo digitale,2022-01-04,https://italiadomani.gov.it/content/dam/sogei-ng/documenti/Allegato%203c-Dashboard-Manuale-Utente.pdf
Documentazione della misura M1C3-8 - Hub del turismo digitale,2022-01-04,https://italiadomani.gov.it/content/dam/sogei-ng/documenti/Allegato-5-Nota-comunicazione-referenti-tavoli-tematici.pdf
Linee di indirizzo organizzative per il potenziamento della rete ospedaliera per emergenza COVID-19,2022-01-04,https://italiadomani.gov.it/content/dam/sogei-ng/documenti/Allegato-1-Circolare-DGPROGS-DGRUPS-29-5-20-Linee-guida.pdf
Manuale Utente - Riordino della rete ospedaliera in emergenza COVID-19 – Dotazione posti letto,2022-01-04,https://italiadomani.gov.it/content/dam/sogei-ng/documenti/Allegato-2-Circolare-DGPROGS-DGRUPS-29-5-20-MANUALE-UTENTE-REGIONE.pdf
