date,type,author,title,path,datetime,URL,tag
06/10/25,"Circolari, linee guida",,DECRETO 9 settembre 2025 (GU Serie Generale n.232 del 06-10-2025),null,2025-10-06,https://italiadomani.gov.it,
06/10/25,"Circolari, linee guida",,DECRETO 9 settembre 2025 (GU Serie Generale n.232 del 06-10-2025),null,2025-10-06,https://italiadomani.gov.it,
22/09/25,"Circolari, linee guida",,"Circolare del 19 settembre 2025, n. 22",null,2025-09-22,https://italiadomani.gov.it,
22/09/25,"Circolari, linee guida",,"Circolare del 19 settembre 2025, n. 22",null,2025-09-22,https://italiadomani.gov.it,
08/09/25,"Circolari, linee guida",Italia,Cumulo di aiuti e doppio finanziamento - ambito PNRR,null,2025-09-08,https://italiadomani.gov.it,
08/09/25,"Circolari, linee guida",Italia,Cumulo di aiuti e doppio finanziamento - ambito PNRR,null,2025-09-08,https://italiadomani.gov.it,
08/09/25,"Circolari, linee guida",,Cumulo di aiuti e doppio finanziamento - ambito PNRR,null,2025-09-08,https://italiadomani.gov.it,
04/09/25,Italia,,VADEMECUM DNSH DI IFEL,null,2025-09-04,https://italiadomani.gov.it,
04/09/25,Italia,,VADEMECUM DNSH DI IFEL,null,2025-09-04,https://italiadomani.gov.it,
04/09/25,"Circolari, linee guida",Italia,VADEMECUM DNSH DI IFEL,null,2025-09-04,https://italiadomani.gov.it,
04/09/25,"Circolari, linee guida",,VADEMECUM DNSH DI IFEL,null,2025-09-04,https://italiadomani.gov.it,
19/08/25,Italia,,Raccolta normativa PNRR,null,2025-08-19,https://italiadomani.gov.it,
19/08/25,Italia,,Raccolta normativa PNRR,null,2025-08-19,https://italiadomani.gov.it,
19/08/25,"Circolari, linee guida",Italia,Raccolta normativa PNRR,null,2025-08-19,https://italiadomani.gov.it,
10/07/25,Italia,,Quadri sinottici delle Misure del PNRR del Ministero del Lavoro e delle Politiche Sociali,null,2025-07-10,https://italiadomani.gov.it,
10/07/25,"Circolari, linee guida, Leggi, decreti legislativi e decreti-legge",Italia,Quadri sinottici delle Misure del PNRR del Ministero del Lavoro e delle Politiche Sociali,null,2025-07-10,https://italiadomani.gov.it,
10/07/25,Italia,,Quadri sinottici delle Misure del PNRR del Ministero del Lavoro e delle Politiche Sociali,null,2025-07-10,https://italiadomani.gov.it,
10/07/25,Italia,,Quadri sinottici delle Misure del PNRR del Ministero dell'Ambiente e della Sicurezza Energetica,null,2025-07-10,https://italiadomani.gov.it,
10/07/25,Italia,,Quadri sinottici delle Misure del PNRR del Ministero dell'Ambiente e della Sicurezza Energetica,null,2025-07-10,https://italiadomani.gov.it,
10/07/25,Italia,,Quadri sinottici delle Misure del PNRR del Ministero della Cultura,null,2025-07-10,https://italiadomani.gov.it,
10/07/25,Italia,,Quadri sinottici delle Misure del PNRR del Ministero della Cultura,null,2025-07-10,https://italiadomani.gov.it,
